йыдийос (ломадийос аяихлос еццяажгс);еидос йимгсгс (11=сульгжистийг, 12=ацояым-енодым, 13=пыкгсеым, 14=талеиайг;йепуо (0=╪ви, 1=пыкгсеым, 2=ацояым);уповяеысг упобокгс (0=уповяеос,1=лг уповяеос);йыдийос сумаккассолемоу;глеяолгмиа;аитиокоциа;паяастатийо;аниа йепуо уповяеоу;жпа йепуо;коцаяиаслос;(0=вяеысг,1=пистысг);аниа;паяастатийо аяхяоу;аитиокоциа аяхяоу;йЫДИЙЭР тАЛЕИАЙчР ('ЙЕМО' = ВЕИЯЭЦЯАЖА ч 'йЫДИЙЭ ТАЛЕИАЙчР');кОИПщР дАПэМЕР;тАУТЭТГТА кИАМИЙЧМ (0=╪ви,1=маи);аЙУЯЫЛщМО;пЕДъО оЛАДОПОъГСГР аЙЩЯЫСГР
4;12;0;0;3095;1/1/2018;аIтиокоциа 4;паяастатийо 4;0;0;50-00-00-0001;1;230,89;паяастатийо 4;аIтиокоциа 4;;;;;
4;12;0;0;3095;1/1/2018;аIтиокоциа 4;паяастатийо 4;0;0;54-00-29-0006;0;0,94;паяастатийо 4;аIтиокоциа 4;;;;;
4;12;0;0;3095;1/1/2018;аIтиокоциа 4;паяастатийо 4;0;0;54-00-29-0013;0;7,06;паяастатийо 4;аIтиокоциа 4;;;;;
4;12;0;0;3095;1/1/2018;аIтиокоциа 4;паяастатийо 4;0;0;62-98-02-0006;0;15,6;паяастатийо 4;аIтиокоциа 4;;;;;
4;12;0;0;3095;1/1/2018;аIтиокоциа 4;паяастатийо 4;0;0;62-98-02-0013;0;54,26;паяастатийо 4;аIтиокоциа 4;;;;;
4;12;0;0;3095;1/1/2018;аIтиокоциа 4;паяастатийо 4;0;0;62-98-02-0000;0;153,03;паяастатийо 4;аIтиокоциа 4;;;;;
23;12;2;0;40;1/1/2018;аIтиокоциа 23;паяастатийо 23;7,27;1,38;50-00-00-0002;1;8,65;паяастатийо 23;аIтиокоциа 23;;;;;
23;12;2;0;40;1/1/2018;аIтиокоциа 23;паяастатийо 23;7,27;1,38;62-03-02-0019;0;7,27;паяастатийо 23;аIтиокоциа 23;;;;;
23;12;2;0;40;1/1/2018;аIтиокоциа 23;паяастатийо 23;7,27;1,38;54-00-29-0019;0;1,38;паяастатийо 23;аIтиокоциа 23;;;;;
24;14;0;0;40;1/1/2018;аIтиокоциа 24;паяастатийо 24;0;0;38-00-00-0000;1;8,65;паяастатийо 24;аIтиокоциа 24;;;;;
